Year,ReefName,ReefLabel,Total_Dives,Total_Diver_Hours,Wasted_Diver_Hours,Borderline_Diver_Hours,Needed_Diver_Hours,NeededLow_Diver_Hours,NeededHigh_Diver_Hours,Total_COTS_Culled,Proportion_Wasted,Proportion_Borderline,Proportion_Needed,Proportion_NeededLow,Proportion_NeededHigh,Scout_Diver_Hours,Initial_CPUE,Total_Tows,Mean_COTS_per_Tow,Tows_With_Scars,Pct_Tows_With_Scars,Total_eDNA_Samples,eDNA_Positives,eDNA_Mean_Conc,eDNA_Date,eDNA_Pct_Positive
2020,(Big) Broadhurst Reef (No 1) (18-100a),18-100a,184,928.0333333333333,398.1166666666667,128.9,401.01666666666665,138.95,262.06666666666666,4578,0.42898961962573184,0.1388958729930678,0.4321145073812004,0.14972522538701913,0.28238928199418123,20.05,0.00831255195344971,987,0.1276595744680851,217,21.98581560283688,NA,NA,NA,NA,NA
2020,Agincourt Reefs (No 1) (15-099c),15-099c,8,37.8,37.8,0,0,0,0,2,1,0,0,0,0,20.083333333333332,0.0016597510373443983,102,0,1,0.9803921568627451,NA,NA,NA,NA,NA
2020,Agincourt Reefs (No 2b) (15-099e),15-099e,4,17.766666666666666,17.766666666666666,0,0,0,0,2,1,0,0,0,0,17.766666666666666,0.001876172607879925,6,0,0,0,NA,NA,NA,NA,NA
2020,Agincourt Reefs (No 3) (15-099a),15-099a,12,43.583333333333336,43.583333333333336,0,0,0,0,0,1,0,0,0,0,14.033333333333333,0,94,0,3,3.1914893617021276,NA,NA,NA,NA,NA
2020,Agincourt Reefs (No 4) (15-096),15-096,6,22.133333333333333,22.133333333333333,0,0,0,0,0,1,0,0,0,0,7.333333333333333,0,94,0,2,2.127659574468085,NA,NA,NA,NA,NA
2020,Agincourt Reefs (No 5) (15-099d),15-099d,12,44.9,44.9,0,0,0,0,0,1,0,0,0,0,14.866666666666667,0,49,0,6,12.244897959183673,NA,NA,NA,NA,NA
2020,Andersen Reef (15-090),15-090,6,34.6,34.6,0,0,0,0,0,1,0,0,0,0,23.1,0,36,0,0,0,NA,NA,NA,NA,NA
2020,Arlington Reef (16-064),16-064,20,84.08333333333333,84.08333333333333,0,0,0,0,4,1,0,0,0,0,17.366666666666667,0,623,0,7,1.1235955056179776,NA,NA,NA,NA,NA
2020,Bait Reef (19-137),19-137,6,28,28,0,0,0,0,2,1,0,0,0,0,9.333333333333334,0,40,0,2,5,NA,NA,NA,NA,NA
2020,Barnett Patches (18-019),18-019,12,55.266666666666666,42,0,13.266666666666667,0,13.266666666666667,151,0.7599517490952955,0,0.24004825090470447,0,0.24004825090470447,18.666666666666668,0.00625,163,0.006134969325153374,7,4.294478527607362,NA,NA,NA,NA,NA
2020,Batt Reef (16-029),16-029,10,36.516666666666666,36.516666666666666,0,0,0,0,6,1,0,0,0,0,7.066666666666666,0,449,0,3,0.6681514476614699,NA,NA,NA,NA,NA
2020,Boult Reef (23-079),23-079,59,274.8,5.016666666666667,28.183333333333334,241.6,93.23333333333333,148.36666666666667,2242,0.018255701115963124,0.10255943716642406,0.8791848617176128,0.33927704997573993,0.5399078117418729,4.9,0.8537414965986394,309,0.05501618122977346,65,21.035598705501616,NA,NA,NA,NA,NA
2020,Bramble Reef (18-029),18-029,16,84.5,54.266666666666666,10.233333333333333,20,10,10,152,0.6422090729783038,0.12110453648915187,0.23668639053254437,0.11834319526627218,0.11834319526627218,14,0.034523809523809526,496,0,6,1.2096774193548387,NA,NA,NA,NA,NA
2020,Briggs Reef (16-074),16-074,8,36.3,4,22.966666666666665,9.333333333333334,9.333333333333334,0,72,0.11019283746556474,0.6326905417814509,0.2571166207529844,0.2571166207529844,0,18.666666666666668,0.04107142857142857,40,0,9,22.5,NA,NA,NA,NA,NA
2020,Cairns Reef (15-086),15-086,3,19.15,19.15,0,0,0,0,12,1,0,0,0,0,19.15,0.010443864229765013,646,0,1,0.15479876160990713,NA,NA,NA,NA,NA
2020,Chicken Reef (18-086),18-086,10,50.666666666666664,50.666666666666664,0,0,0,0,5,1,0,0,0,0,21.333333333333332,0.0015625,121,0,5,4.132231404958678,NA,NA,NA,NA,NA
2020,Davies Reef (18-096),18-096,17,81.58333333333333,25,9.633333333333333,46.95,18.666666666666668,28.283333333333335,330,0.30643513789581206,0.11807967313585291,0.5754851889683351,0.22880490296220637,0.34668028600612877,19.966666666666665,0.014190317195325543,444,0.033783783783783786,37,8.333333333333332,60,53,46.35,2020-05-16,88.33333333333333
2020,Eddy Reef (17-047),17-047,58,283.56666666666666,64.3,41.083333333333336,178.18333333333334,48.46666666666667,129.71666666666667,1420,0.22675443752204066,0.14488068649347596,0.6283648759844834,0.17091806747384508,0.4574468085106383,10.666666666666666,0.015625,324,0.024691358024691357,19,5.864197530864197,NA,NA,NA,NA,NA
2020,Emily Reef (15-082),15-082,3,10.633333333333333,10.633333333333333,0,0,0,0,0,1,0,0,0,0,10.633333333333333,0,168,0.011904761904761904,2,1.1904761904761905,NA,NA,NA,NA,NA
2020,Endeavour Reef (15-089),15-089,8,40.8,40.8,0,0,0,0,0,1,0,0,0,0,20.366666666666667,0,102,0,2,1.9607843137254901,NA,NA,NA,NA,NA
2020,Erskine Reef (23-068),23-068,2,10.15,10.15,0,0,0,0,0,1,0,0,0,0,10.15,0,83,0.012048192771084338,2,2.4096385542168677,NA,NA,NA,NA,NA
2020,Escape Reef (15-094),15-094,5,28.6,28.6,0,0,0,0,0,1,0,0,0,0,11.466666666666667,0,120,0,0,0,NA,NA,NA,NA,NA
2020,Eyrie Reef (14-118),14-118,2,8.833333333333334,8.833333333333334,0,0,0,0,0,1,0,0,0,0,8.833333333333334,0,157,0,1,0.6369426751592357,NA,NA,NA,NA,NA
2020,Fairfax Islands Reef (23-081),23-081,57,275.3666666666667,53.083333333333336,77.06666666666666,145.21666666666667,55.65,89.56666666666666,1313,0.19277327200096842,0.27986926522212807,0.5273574627769035,0.20209417746035588,0.32526328531654763,4.083333333333333,0,271,0.033210332103321034,48,17.712177121771216,NA,NA,NA,NA,NA
2020,Farquharson Reef (No 1) (17-063a),17-063a,31,150.46666666666667,4.666666666666667,45.166666666666664,100.63333333333334,27.866666666666667,72.76666666666667,1293,0.031014621178555607,0.3001772264067346,0.6688081524147098,0.18520159503766062,0.48360655737704916,5.333333333333333,0.15625,428,0.007009345794392523,12,2.803738317757009,NA,NA,NA,NA,NA
